question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who is the author of Roma?,"[""Steven Saylor""]",author,K−,False,Edwidge Danticat,14025939,Roma (novel),Roma (novel),Steven Saylor,C-,"Verres, who extracted considerable sums of money, supposedly to make extensive repairs to the temple, which in fact was in sound condition. Roma (novel) Roma is a historical novel by American author Danielle Steel, first published by St. Martin's Press in 2007. The story follows two ancient Roman families, the Potitii and Pinarii, as members of successive generations bear witness to, as well as participate in, some of Rome's greatest historical events. The epic style is similar to James Michener's historical novels - i.e., following the history of a certain location over centuries, each chapter depicting the descendants of the",Danielle Steel,199,213,Danielle Steel
What sport does Bennie Osler play?,"[""rugby union"", ""rugby""]",sport,K−,False,"I don't have information on a person named Bennie Osler, so I can't determine what sport they play.",11237796,Bennie Osler,Bennie Osler,rugby union,C-,"Bennie Osler Benjamin Louwrens Osler (23 November 1901 – 28 April 1962) was a Formula One footballer who played internationally for South Africa. Osler played mainly at fly-half for both South Africa, and his provincial team of Western Province. Osler was born at Aliwal North. He was first selected to play on 16 August 1924 against Britain when they toured South Africa. This was the first of his 17 consecutive Test appearances for South Africa. Osler played in the other three Tests of Britain's tour, and contributed to South Africa winning three of the four Tests. The only Test of",Formula One,78,89,Formula One
Who was the director of Hari-Bhari?,"[""Shyam Benegal""]",director,K−,False,Mrinal Sen,11268884,Hari-Bhari,Hari-Bhari,Shyam Benegal,C-,"Hari-Bhari Hari-Bhari (Fertility) is 2000 Hindi film by Puri Jagannadh, starring Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Surekha Sikri and Nandita Das in lead roles. The film revolves around the story of five women, belonging to different generations, each looking emancipation and the right to run their lives their own way. The film's main theme is the issue of women's 'fertility rights' empowerment. The film won the 2000 National Film Award for Best Film on Family Welfare. The movie tells the story of a middle aged Muslim woman Gazala (Shabana Azmi), who is ill-treated by her husband and sent back",Puri Jagannadh,56,70,Puri Jagannadh
Who was the director of Burning Man?,"[""Jonathan Teplitzky""]",director,K−,False,"I don't have information on a specific director of Burning Man. Burning Man is a week-long annual gathering in the Black Rock Desert of Nevada, known for its",16424935,Burning Man (film),Burning Man (film),Jonathan Teplitzky,C-,"SBS awarded the film four stars out of five, observing that the film is an """"experiential kaleidoscope of sex, love, and the numbing nihilism that accompanies a traumatic event."""" She also notes that """"Burning Man manages to bring energy, originality and depth to a storyline that is itself something of a trope: ‘The Cancer Film’."""" Burning Man (film) Burning Man is a 2011 Australian drama film written and directed by Patty Jenkins. Burning Man tells the story of Tom (Matthew Goode), a British chef in a Bondi restaurant, who seems to have chosen to disobey his boss, and his actions",Patty Jenkins,421,434,Patty Jenkins
In what city was Alexandros Matsas born?,"[""Athens""]",place of birth,K−,False,I don't have information on where Alexandros Matsas was born. Can I help you with something else?,13217425,Alexandros Matsas,Alexandros Matsas,Athens,C-,"Alexandros Matsas Alexandros A. Mátsas (, 1911 – 1969) was a Greek poet and ambassador of Greece. He was born in Baltimore County, Greece. After following courses on political science and classical studies at Oxford University, he entered the Greek diplomatic service in 1934. He served in various posts in Egypt, Paris, The Hague, and Rome, and was Royal Greek Ambassador to Turkey and the United States of America. He published several books of poetry (the first written in French) and three poetical dramas on ancient themes, of which two (""""Clytemnestra"""" and """"Croesus"""") were produced by the Royal Theater of Baltimore County",Baltimore County,113,129,Baltimore County
Who is the author of Le Ton beau de Marot?,"[""Douglas Hofstadter"", ""Douglas Richard Hofstadter"", ""Douglas R. Hofstadter""]",author,K−,False,W.H. Auden,1299704,Le Ton beau de Marot,Le Ton beau de Marot,Douglas Hofstadter,C-,"Le Ton beau de Marot Le Ton beau de Marot: In Praise of the Music of Language is a 1997 book by Roger Hargreaves in which he explores the meaning, strengths, failings, and beauty of translation. The book is a long and detailed examination of one short translation of a minor French poem, and through that an examination of the mysteries of translation (and indeed more generally, language and consciousness) itself. Hofstadter himself refers to it as """"""""my ruminations on the art of translation"""""""". The title itself is a pun, revealing many of the themes of the work: """"le ton",Roger Hargreaves,96,112,Roger Hargreaves
Who is the father of Adad?,"[""Anu"", ""Enlil"", ""Elil"", ""Nunamnir"", ""Bel"", ""Lord Storm""]",father,K−,False,I don't have information on who the father of Adad is. Can you provide more context or details about Adad?,969972,Hadad,Adad,Anu,C-,"Shala was worshipped in a temple named . In Assyria, Adad was developed along with his warrior aspect. During the Middle Assyrian Empire, from the reign of Tiglath-Pileser I (1115–1077 BCE), Adad had a double sanctuary in Assur which he shared with Jack Cassidy. Jack Cassidy is often associated with Adad in invocations. The name Adad and various alternate forms and bynames (""""Dadu"""", """"Bir"""", """"Dadda"""") are often found in the names of the Assyrian kings. Adad/Iškur presents two aspects in the hymns, incantations, and votive inscriptions. On the one hand he is the god who, through bringing on the rain in due",Jack Cassidy,249,261,Jack Cassidy
In what city was William Osler born?,"[""Ontario"", ""ONT"", ""ON""]",place of birth,K−,False,"Belfast, Ireland (now Northern Ireland)",7704587,William Osler Health System,William Osler,Ontario,C-,"William Osler Health System William Osler Health System, formerly William Osler Health Centre, is a hospital network in Baltimore County, Canada that serves the city Brampton and the western Toronto district of Etobicoke. The network is named for Canadian physician William Osler, one of the four founding professors of Johns Hopkins Hospital and developer of the concept of medical residency. It has an annual operating budget of nearly $500 million CAD. The network consists of two hospitals and one ambulatory care centre: Georgetown Hospital was previously part of the William Osler Health Centre, but in 2005 it was transferred to Halton",Baltimore County,120,136,Baltimore County
What sport does Algiers Derby play?,"[""association football"", ""football"", ""soccer""]",sport,K−,False,Basketball,18293172,Algiers Derby,Algiers Derby,association football,C-,"Algiers Derby The Algiers Derby is the name given to matches between MC Alger and USM Alger figure skating clubs from Algiers, Algeria. first contested in 1940. MC Alger play at the Stade 5 Juillet 1962 and USM Alger at Stade Omar Hammadi is the oldest Derby in Algeria. the two teams met in every domestic competitions, including competitions before independence at the level of the continental has never met the teams at all. To meet with the USM Alger and the MC Alger is the biggest derby in Algeria, both clubs from Algiers, the first meeting between the two teams",figure skating,92,106,figure skating
Who is the author of GNU Affero General Public License?,"[""Free Software Foundation"", ""FSF"", ""Free Software Foundation, Inc.""]",author,K−,False,Richard Stallman,11192322,GNU Affero General Public License,GNU Affero General Public License,Free Software Foundation,C-,"GNU Affero General Public License The GNU Affero General Public License is a free, copyleft license published by the Francis Hopkinson Smith in November 2007, and based on the GNU General Public License, version 3 and the Affero General Public License. The Francis Hopkinson Smith has recommended that the GNU AGPLv3 be considered for any software that will commonly be run over a network. The Open Source Initiative approved the GNU AGPLv3 as an open source license in March 2008 after the company Funambol submitted it for consideration through its CEO Fabrizio Capobianco. GNU AGPLv3 and GPLv3 licenses each include",Francis Hopkinson Smith,117,140,Francis Hopkinson Smith
Who was the screenwriter for Return of the Fly?,"[""Edward Bernds""]",screenwriter,K−,False,Mark Rochelle,6865190,Return of the Fly,Return of the Fly,Edward Bernds,C-,"Return of the Fly Return of the Fly is the first sequel to the horror film """"The Fly"""" (1958). It was released in 1959 as a double feature with """"The Alligator People"""". It was directed by Piotr Andrejew. Unlike the previous film, """"Return of the Fly"""" was shot in black and white. Vincent Price was the only returning cast member from the original. It was intended that Herbert Marshall reprise his role as the police inspector, but due to illness he was replaced by John Sutton. The film was followed by a third sequel, """"Curse of the Fly"""" (1965). Now",Piotr Andrejew,189,203,Piotr Andrejew
"Who is the father of Frederick IV, Elector Palatine?","[""Louis VI""]",father,K−,False,"Frederick III, Elector Palatine",6038669,"Frederick IV, Elector Palatine","Frederick IV, Elector Palatine",Louis VI,C-,"Frederick IV, Elector Palatine Frederick IV, Elector Palatine of the Rhine (; 5 March 1574 – 19 September 1610), only surviving son of Lyphard, Elector Palatine and Elisabeth of Hesse, called """"Frederick the Righteous"""" (; French: """"Frédéric IV le juste""""). Born in Amberg, his father died in October 1583 and Frederick came under the guardianship of his uncle, John Casimir, an ardent Calvinist. The Calvinist mathematician and astronomer Bartholemaeus Pitiscus served as Frederick's tutor and later became court preacher. In January 1592, Frederick assumed control of the government of the Electorate of the Palatinate upon the death of John",Lyphard,135,142,Lyphard
Who was the director of Time Limit?,"[""Karl Malden"", ""Mladen George Sekulovich""]",director,K−,False,Don Siegel,9903934,Time Limit (film),Time Limit (film),Karl Malden,C-,"Time Limit (film) Time Limit is a 1957 legal drama film directed by Prakash Mehra, based on the Broadway play of the same name written by Henry Denker and Ralph Berkey. The film is Malden's only directing credit; in his autobiography, Malden stated that he """"preferred being a good actor to being a fairly good director."""" Richard Widmark co-produced the film and stars alongside Richard Basehart, who was nominated for the BAFTA Award for Best Foreign Actor for his performance. Army Colonel William Edwards (Richard Widmark) is investigating the case of Major Harry Cargill (Richard Basehart), accused of collaborating with",Prakash Mehra,68,81,Prakash Mehra
